p,n,mean,std,median,best,worst
1,6,11.0,0.0,11.0,11.0,11.0
2,6,22.0,0.0,22.0,22.0,22.0
3,6,33.0,0.0,33.0,33.0,33.0
4,6,44.0,0.0,44.0,44.0,44.0
