p,n,mean,std,median,best,worst
1,6,0.060953776041666664,0.01811889721083713,0.06494140625,0.02783203125,0.07763671875
2,6,0.102783203125,0.0071010935411372,0.103515625,0.09326171875,0.1123046875
3,6,0.11051432291666667,0.010379470536112429,0.11328125,0.0947265625,0.12353515625
4,6,0.11311848958333333,0.009836978904691936,0.1142578125,0.099609375,0.1259765625
