p,n,mean,std,median,best,worst
1,6,389.75454418796784,6.226884551155832e-14,389.7545441879678,389.7545441879678,389.7545441879678
2,6,389.75454418796784,6.226884551155832e-14,389.7545441879678,389.7545441879678,389.7545441879678
3,6,389.75454418796784,6.226884551155832e-14,389.7545441879678,389.7545441879678,389.7545441879678
4,6,389.75454418796784,6.226884551155832e-14,389.7545441879678,389.7545441879678,389.7545441879678
