p,objective,reference_objective,feasibility_rate,p_opt,runtime_seconds,circuit_depth
1,,160.03650782352275,0.0,0.0,27.496946499915794,8
2,165.24406620789696,160.03650782352275,0.00048828125,0.0,66.13793249987066,14
3,165.24406620789696,160.03650782352275,0.00146484375,0.0,72.28577629989013,20
4,165.24406620789696,160.03650782352275,0.00048828125,0.0,124.2639371000696,26
