penalty_scale,source,target,reference_objective,qaoa_objective,qaoa_feasible,feasibility_rate,p_opt,qaoa_runtime_seconds,qubits,circuit_depth
0.5,3277375525,1787162124,160.03650782352275,,False,0.0,0.0,29.30179059994407,27,20
1.0,3277375525,1787162124,160.03650782352275,,False,0.0,0.0,26.053434300003573,27,20
2.0,3277375525,1787162124,160.03650782352275,165.24406620789696,True,0.0009765625,0.0,26.44638859992847,27,20
5.0,3277375525,1787162124,160.03650782352275,165.24406620789696,True,0.001953125,0.0,24.725046599982306,27,20
10.0,3277375525,1787162124,160.03650782352275,165.24406620789696,True,0.001953125,0.0,24.903742599999532,27,20
