solver,n,mean,std,median,best,worst
Exact,24,389.7545441879677,5.806599784310142e-14,389.7545441879678,389.7545441879678,389.7545441879678
SA,24,389.7545441879677,5.806599784310142e-14,389.7545441879678,389.7545441879678,389.7545441879678
QAOA,24,389.7545441879677,5.806599784310142e-14,389.7545441879678,389.7545441879678,389.7545441879678
