p,objective,reference_objective,feasibility_rate,p_opt,runtime_seconds,circuit_depth
1,,160.03650782352275,0.0,0.0,85.22649809997529,8
2,165.24406620789696,160.03650782352275,0.00048828125,0.0,89.35128219984472,14
3,165.24406620789696,160.03650782352275,0.00146484375,0.0,93.99037989997305,20
4,165.24406620789696,160.03650782352275,0.00048828125,0.0,68.85822560009547,26
