p,n,mean,std,median,best,worst
1,6,0.45947265625,0.17550542595890198,0.477783203125,0.20458984375,0.6240234375
2,6,0.6653645833333334,0.09368877530984833,0.613525390625,0.603515625,0.8291015625
3,6,0.78466796875,0.134327227949888,0.78857421875,0.6298828125,0.9248046875
4,6,0.809814453125,0.09023921012309524,0.82470703125,0.6904296875,0.90869140625
